DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS;QT_VOTOS_LEGENDA
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;61794;ASSIS;61794;ASSIS;15;13;Vereador;Partido isolado;14;PTB;Partido Trabalhista Brasileiro;2,5E+11;PARTIDO ISOLADO;PTB;N;3026;48
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;67059;MIRANTE DO PARANAPANEMA;67059;MIRANTE DO PARANAPANEMA;165;13;Vereador;Partido isolado;13;PT;Partido dos Trabalhadores;2,5E+11;PARTIDO ISOLADO;PT;N;191;7
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;61549;VARGEM;61549;VARGEM;298;13;Vereador;Partido isolado;14;PTB;Partido Trabalhista Brasileiro;2,5E+11;PARTIDO ISOLADO;PTB;N;361;7
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;65374;ITAÍ;65374;ITAÍ;301;13;Vereador;Partido isolado;14;PTB;Partido Trabalhista Brasileiro;2,5E+11;PARTIDO ISOLADO;PTB;N;937;62
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;64530;GUAPIARA;64530;GUAPIARA;37;13;Vereador;Partido isolado;14;PTB;Partido Trabalhista Brasileiro;2,5E+11;PARTIDO ISOLADO;PTB;N;1563;50
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;68535;PERUÍBE;68535;PERUÍBE;295;13;Vereador;Partido isolado;14;PTB;Partido Trabalhista Brasileiro;2,5E+11;PARTIDO ISOLADO;PTB;N;651;29
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;61867;MARAPOAMA;61867;MARAPOAMA;79;13;Vereador;Partido isolado;14;PTB;Partido Trabalhista Brasileiro;2,5E+11;PARTIDO ISOLADO;PTB;N;618;45
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;68438;PEDREIRA;68438;PEDREIRA;333;13;Vereador;Partido isolado;14;PTB;Partido Trabalhista Brasileiro;2,5E+11;PARTIDO ISOLADO;PTB;N;3349;62
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;61026;BOREBI;61026;BOREBI;161;13;Vereador;Partido isolado;15;MDB;Movimento Democrático Brasileiro;2,5E+11;PARTIDO ISOLADO;MDB;N;500;60
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;70572;SANTO ANDRÉ;70572;SANTO ANDRÉ;156;13;Vereador;Partido isolado;15;MDB;Movimento Democrático Brasileiro;2,5E+11;PARTIDO ISOLADO;MDB;N;2926;71
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62197;BAURU;62197;BAURU;300;13;Vereador;Partido isolado;15;MDB;Movimento Democrático Brasileiro;2,5E+11;PARTIDO ISOLADO;MDB;N;2508;92
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;64912;IBIRAREMA;64912;IBIRAREMA;83;13;Vereador;Partido isolado;15;MDB;Movimento Democrático Brasileiro;2,5E+11;PARTIDO ISOLADO;MDB;N;720;61
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;64939;IBITINGA;64939;IBITINGA;49;13;Vereador;Partido isolado;15;MDB;Movimento Democrático Brasileiro;2,5E+11;PARTIDO ISOLADO;MDB;N;7440;829
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;20;13;Vereador;Partido isolado;16;PSTU;Partido Socialista dos Trabalhadores Unificado;2,5E+11;PARTIDO ISOLADO;PSTU;N;70;24
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71498;SUMARÉ;71498;SUMARÉ;230;13;Vereador;Partido isolado;17;PSL;Partido Social Liberal;2,5E+11;PARTIDO ISOLADO;PSL;N;833;20
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;4;13;Vereador;Partido isolado;16;PSTU;Partido Socialista dos Trabalhadores Unificado;2,5E+11;PARTIDO ISOLADO;PSTU;N;25;31
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;65838;ITUVERAVA;65838;ITUVERAVA;60;13;Vereador;Partido isolado;17;PSL;Partido Social Liberal;2,5E+11;PARTIDO ISOLADO;PSL;N;1079;28
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;64777;GUARULHOS;64777;GUARULHOS;279;13;Vereador;Partido isolado;17;PSL;Partido Social Liberal;2,5E+11;PARTIDO ISOLADO;PSL;N;873;51
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;64939;IBITINGA;64939;IBITINGA;49;13;Vereador;Partido isolado;17;PSL;Partido Social Liberal;2,5E+11;PARTIDO ISOLADO;PSL;N;7051;102
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;61891;AVARÉ;61891;AVARÉ;17;13;Vereador;Partido isolado;17;PSL;Partido Social Liberal;2,5E+11;PARTIDO ISOLADO;PSL;N;2169;283
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;72338;VÁRZEA PAULISTA;72338;VÁRZEA PAULISTA;242;13;Vereador;Partido isolado;17;PSL;Partido Social Liberal;2,5E+11;PARTIDO ISOLADO;PSL;N;2027;133
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;69213;PRAIA GRANDE;69213;PRAIA GRANDE;406;13;Vereador;Partido isolado;18;REDE;Rede Sustentabilidade;2,5E+11;PARTIDO ISOLADO;REDE;N;2032;40
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;6;13;Vereador;Partido isolado;18;REDE;Rede Sustentabilidade;2,5E+11;PARTIDO ISOLADO;REDE;N;2195;134
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62693;CABREÚVA;62693;CABREÚVA;59;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;2116;33
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;4;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;3703;63
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;63770;DIADEMA;63770;DIADEMA;426;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;2980;57
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;68659;ESPÍRITO SANTO DO PINHAL;68659;ESPÍRITO SANTO DO PINHAL;91;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;3259;444
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;70998;SÃO JOSÉ DOS CAMPOS;70998;SÃO JOSÉ DOS CAMPOS;411;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;2458;61
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;69299;PRESIDENTE PRUDENTE;69299;PRESIDENTE PRUDENTE;402;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;5140;106
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;63150;CARDOSO;63150;CARDOSO;224;13;Vereador;Partido isolado;19;PODE;Podemos;2,5E+11;PARTIDO ISOLADO;PODE;N;112;2
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;66370;LENÇÓIS PAULISTA;66370;LENÇÓIS PAULISTA;161;13;Vereador;Partido isolado;20;PSC;Partido Social Cristão;2,5E+11;PARTIDO ISOLADO;PSC;N;2284;45
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;62219;BEBEDOURO;62219;BEBEDOURO;24;13;Vereador;Partido isolado;20;PSC;Partido Social Cristão;2,5E+11;PARTIDO ISOLADO;PSC;N;267;9
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;71072;SÃO PAULO;71072;SÃO PAULO;405;13;Vereador;Partido isolado;20;PSC;Partido Social Cristão;2,5E+11;PARTIDO ISOLADO;PSC;N;1194;47
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;69698;RIBEIRÃO PRETO;69698;RIBEIRÃO PRETO;265;13;Vereador;Partido isolado;21;PCB;Partido Comunista Brasileiro;2,5E+11;PARTIDO ISOLADO;PCB;N;66;20
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;63134;CARAPICUÍBA;63134;CARAPICUÍBA;388;13;Vereador;Partido isolado;20;PSC;Partido Social Cristão;2,5E+11;PARTIDO ISOLADO;PSC;N;5410;93
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;64092;FARTURA;64092;FARTURA;234;13;Vereador;Partido isolado;22;PL;Partido Liberal;2,5E+11;PARTIDO ISOLADO;PL;N;513;22
18/11/2020;19:16:39;2020;2;Eleição Ordinária;1;426;Eleições Municipais 2020;15/11/2020;M;SP;66370;LENÇÓIS PAULISTA;66370;LENÇÓIS PAULISTA;161;13;Vereador;Partido isolado;22;PL;Partido Liberal;2,5E+11;PARTIDO ISOLADO;PL;N;2567;65
